comentario,sentimento
filas enormes que demoravam em torno de h para cada brinquedo poucos lugares para se abrigar do sol principalmente nas filas não tem bebedouro se quiser água terá que gastar reais na garrafinha tenho mil reclamações sobre o parque mas o principal é estou morrendo de dores no pescoço e no corpo depois de ter ido na montanha russa de madeira acho que os bancos não estão adequados meu corpo foi lançado pra todos os lados naquele brinquedo principalmente meu pescoço parecia que ia ser lançado da minha cabeça e em poucas pesquisas descobri que o parque está sob um processo após um homem ficar tetraplégico depois de ir nessa montanha russa justamente pelas cadeiras completamente inadequadas,0
entrada do parque às hs da manhã sol escaldante sem cobertura p se abrigarnão tem bebedouro cada garrafinha de água reaisdifícil achar os locais com apresentações pouca sinalizaçãoa fila p os brinquedos com poucas informações do brinquedo não informa do q se trata o brinquedo não tem ventilador nas filas e nem ar dentro das atrações filas de até hs de esperavários brinquedos em manutenção desativadosalimentação com lugares sem ventilador ar a céu aberto com pouca cobertura sem guardanapos sem ketchupe para finalizar apresentação de encerramento não houve desfile,0
em de outubro eu e minha família visitamos este parque temático e posso afirmar que por mais que tenha um nome possui diversos problemas estes variam de problemas nas atrações até de estruturas é um bom parque porém as contempla problemas como atrações que fecham muito cedo para a quantidade de pessoas no parque horas esperando em filas estrutura conservação das atrações falta de segurança limpeza falta de sinalização falta de estratégia operacional as atrações abrem muito tarde am e fecham muito cedo por volta das pela quantidade de pessoas que ali estão sem o vip passamos em média horas na fila da montanha russa principal montezum embaixo de um sol de c confesso que não fomos muito preparados e acabamos tendo algumas queimaduras no pescoço e braços depois que chegamos em casa além disso nem todos os locais da fila possuem toldos cobrindo o pessoal e os que tem estão muito mal conservados e feios cheios de sujeira precisam de uma reforma também tem um quiosque de água e algumas guloseimas no meio da fila que so colocaram as garrafas de água para gelar por volta das e abriram depois disso isso mesmo total falta de estratégia tendo em vista o calor que estava podiam ter feito um bom dinheiro se tivessem aberto às am aliás o que os funcionários estavam fazendo antes das am só começaram a testar a montanha russa após a abertura do parque a roda gigante ficaria linda com as luzes acessas depois das as atrações precisam de uma reforma pois conforme chegamos perto podemos ver o desgaste claro que é impossível mantêlos tendo em vista que ficam expostos ao sol e chuva horas por dia mas é obrigação do parque manter a estética dos brinquedos pois isso induz as pessoas a voltarem e até para a segurança dos visitantes eles passam um leve ar de que estão sucateadosa segurança do parque também não é uma das melhores tivemos de andar muito para encontrar um segurança ou funcionário tirando os operadores das atrações a falta deles permite problemas como furo nas vilas dos brinquedos aconteceu conosco na fila da montezum até uso de drogasilícitas dentro do parque também ocorreu na nossa frente na fila para entrarmos na atração principal do ano no parque a prisão de alcatraz um jovem dinâmico usando porcarias do tipo na nossa frente e na frente de outras famílias uma total falta de respeito não disse nada pois estávamos tendo um momento em família e não queria estragar com brigas desnecessárias mas se tivesse um segurança o mesmo teria observado e repreendido o molequenão encontramos seque funcionário da limpeza do parque em todo o período que estávamos nele a falta deles ficou bem evidente pois nas lixeiras haviam muito mas muito lixo a ponto de transbordarem e o lixo ficar em nossos pés nas incessantes filas no parque falta sinalizações mapas para nos guiarmos através das atraçõeso parque pelo o que parece prefere uma manutenção corretiva ao invés da preventiva quando entramos de brinquedos que fomos inicialmente quebraram justo na nossa vez uma delas a montezum sei que os brinquedos funcionam horas sem parar mas pelo valor do ingresso deveria ser feito as manutenções devidas antes das coisas falharem as paradas técnicas aumentam ainda mais as filasnos questionamos o valor do ingresso valeu mesmo apena mas foi compensado na hora do horror cheio de monstros bem maquiados e atrações especiais apresentação sensacionais com dançarinos bem treinados e animadosessa foi apenas alguns elementos que observei na vez que frequentei o parque caso o mesmo queira recuperar o auge que tinha antes terá de resolver esses problemas e vários outros sei que estão com até recuperação judicial e passando por mal bocados mas caso queiram mesmo se recuperar ações são necessárias para alavancar o parque,0
um parque de diversões muito bacana e divertido muitas atrações e realmente não dá para ver tudo em um único dia destaque para katakomb,1
fomos em um dia de semana quinta feira estava absolutamente lotado de ônibus escolares até então tudo bem porém o parque estava caótico com adolescentes correndo por todos os lados muito muito lixo espalhado atrações com filas de até horas na parte de trás do parque tem uma espécie de chafariz onde mais de adolescentes estavam tomando banho de roupa tenis e etc os bueiros não estava dando vazão a agua e o esgoto estava retornando com cheiro bem forte de urina muitas lojas fechadas pouca sinalização o parque só disponibiliza um mapa totem com um qrcode porem o sinal de internet não funciona direito parece que o parque esta tentando se reerguer mas ainda tem um logo caminho a percorrer,0
bom mas com ressalvas precisa de manutenção e de melhorias de infraestrutura o parque se encontra do mesmo jeito de a mais de anos atrás brinquedos quebrando falta de organização banheiros super sujos opção de comida nem se fala se vc pegar um dia de parque lotado vc consegue andar em atrações para melhorar seu dia teria que comprar o vip o fura filas do parque reias por cabeça o custo benefício do parque está alto vc gasta bem menos no beto carrero o hopi hari só está assim porque não temos um concorrente em são paulo sei dos problemas que o parque ainda enfrenta na justiça mas precisam investir no parque não tem organização tem um fura fila que é de graça tem outro fura fila família fica um da família na fila depois vem um monte de gente esse é o fura fila falta de educação isso é grande na lá parque pessoas sem educação em fim assim ainda vou no hopi hari somente por ser perto de casa adoro parque de diversão já fui para os parques de fora do brasil o hopi hari não chega nem perto nem um simples app para tempo de fila o parque investe estacionamento reias parque reias fura fila reias esses são os valores diários fora a comida faturam bastante mas não investem outro problema grave é o fechamento das atrações tem funcionário fechando a fila antes do horário previsto exemplo o parque fecha horas tem funcionário fechando não tem supervisão muitos fazem como acham melhor para eles fui perguntar e a resposta é que a fila tem que fechar no horário informado para se divertir lá vc pode ter uns estresse também,0
o parque não está nada divertido você paga o ingresso e não consegue ir em quase nada as filas estão gigantescas a manutenção dos brinquedos estão duvidosas se quiser curtir mesmo o parque vai ser necessário além do ingresso pagar também pelo furafila em torno de rnão recomendo não pessoal não tá legal isso,0
estive pela segunda fez no hopi hari e fiquei decepcionado com o local com estrutura depreciada brinquedos sem vitalidade montezum montanha russa de madeira que dá mais medo do carrinho tombar e sair dos trilhos do que o medo da adrenalina do brinquedo,0
com desculpa do corona vírus dezembro o hopi hari está sem bebedouros há mais de ano nenhum com isso promove a venda de água engarrafada num calor de c obrigando a aquisição do produto sem concorrência e o consumo de inúuuumeras garrafas plásticas sustentabilidade zero,0
eu fui nesse parque há mais de anos e está do mesmo jeito mal cuidado pouca organização alimentação cara e de péssima qualidade a parte dos teatros foi bem divertido e minha filha adorou pegamos o parque vazio em dia útil o que facilitou bastante pois não tinha fila mas a manutenção do parque está precária sem novidades nem mesmo na pintura muito mal cuidado uma pena pois o espaço e o potencial é enorme,0
pretendia ir nesse mês de agosto mas devido aos comentários extremamente negativos eu prefiro não irfila para revistar mochilafila pra medir alturafila para comidafila para banheirotá me dando preguiça jánão li sobre fila para comprovante da vacina do covid eles perguntam tem que apresentar comprovante de vacinaçãopor favor alguém pode me responder,0
foi a primeira e última vez que fui nesse parque entendo que julho é férias e estava esperando que o parque estivesse cheio mas é extremamente desorganizado desde a entrada filas enormes para entrar ficamos em torno de hora na fila para entrar isso porque já tinha comprado o ingresso pelo site fomos somente em brinquedos minha filha quis ir na montanha russa de madeira e ficamos horas na fila isso mesmo das as na fila na entrada do brinquedo estava indicando hora de fila se ficássemos horas seria aceitável afinal é o brinqueido mais concorrido do parque mas em vários momentos a fila simplesmente parava por muito tempo mas como já estávamos lá há horas decidimos ficar e quando subimos as escadas conseguimos ver porque a fila não andava as pessas que tinham o crachá vip passavam na frente e a fila normal ficava tipo minutos parada enquanto os vips passavam além disso uma demora para o embarque e desembarque do trem antes tínhamos ficado horas na fila da roda gigante e quando saímos da fila de horas todos os outros brinquedos estavam com filas enormes estávamos tão decepcionadas que fomos embora uma experiência horrível agora pra quem pode pagar reais no ingresso e mais no vip foi o preço que estavam comentando na fila pode ser que tenha uma experiência melhor eles deveriam limitar o número de vips por dia pois tinha muita gente com vip em todos os brinquedos e o absurdo é que eles não dividiam tipo metade de cada fila passavam os vips em trens e a fila normal ficava parada mais de minutos ah além de tudo as filas pra comer também enormes não almoçamos e comemos bolacha e biscoito que levei a sorte é que na fila de horas apareceu uma pessoa vendendo água senão teríamos morrido de sede pois a água que levamos acabou depois de tanto tempo na fila enfim horrível e não volto nunca mais,0
estive no parque com minhas filhas e um grupo de amigosna chegada vc precisa fazer a medição da altura da criança para colocar a pulseira havia umaaa pessoa para fazer isso pensa a fila o parque tinha várias goteiras choveu no dia inclusive fomos nos abrigar no saloon restaurante para almoçar tinha ummm caixa para atender uma fila enorme e todos esperando nas goteiras inclusive com crianças comida cara pouquíssimas opções e além da demora servida geladanos brinquedos infantis uma funcionária prendeu o dedo da criança numa trava e nem percebeu não teve nenhuma atitude com a mãe nem sequer um pedido de desculpas e para fechar ficamos parados na roda gigante por minutos no alto por um problema técnico que não fomos avisados nem qdo descemos equipe totalmente despreparada e perdida crianças desceram aos prantos assustados uma vergonha decepção não indico,0
fui numa quinta as filas interminaveis nao se devem à super lotação não mas ao desleixo e desorganização do parque horario de funcionamento já é curto h às h e muitos brinquedos concorrido abrem bem mais tarde e fecham beeem mais cedo o que causa acumulo nas filaso parque ja abre tarde h chegamos h e ainda pegamos fila de uma hora pra entrar além da fila pra colocar a pulseira de altura nas criançasentramos quase h e diversas atraçõe ainda estavam fechadas como roda gigante montanha russa fomos na montanha encantada depois de alguns minutos na fila do katabumba e nos demos conta de que a fila estava parada pq o brinquedo ainda estava fechado depois h de fila na roda gigante h perdemos o teatro que pretendíamos ir achamos que daria com folga quando esta próximo de chegar minha vez na roda gigante vimos que passavam da fila vip pass e da fila normal sem exagero até batemos boca lá um absurdo falta de respeito a fila normal deixa de andar pois sempre tem vip afinal parecem nao limitar as vendas e quem pagou só o normal nao tem o mínimo garantido depois a experiencia na roda gigante prejudicada pq o acrílico da janela esta muito velho e embaçado mal se vê o visual todos os brinquedos velhos pintura velha implorando manutenção e reformadepois mais uma hora na fila pra almoçar e olha que já era h quando chegamos lá nao que quisessemos atrasar tanto pra almoçar nao era super lotação do restaurante nao a serviço que era lento demais e sujo muito sujo as mesas imundas resto de comida lixo por todo o chao lixeiras cheias acabando de almoçar h crianças queriam muito ir ao rio bravo nosso plano era ir pelo menos nele dado que vimos que conseguiriamos ir a uns brinquedos no maximo e ele já tinha fechado pois a fila fica muito grande e nao da tempo de fechar a atração mas h os barquinhos ja estavam passando sem ninguem ou seja ja nao havia filas montanha russa fechada pra manutenção um monte de brinquedo fechado parque abandonado sem nenhum respeito pelos frequentadores parece que estao pouco se importando em atender bem pois as pessoas continuam indo não volto nunca mais e nao recomendome senti enganada caí num pega trouxa,0
é legal conhecer um local bonito mas é a e última vez desorganização funcionários mal educadosclaro com algumas exceções filas intermináveis atépra comer aquela comida ruim varios brinquedos fora de funcionamento fiquei cerca de h na fila da montanha russa q parou por falhas técnicas ou manutenção umas vezes e nem se quer dão satisfação ou pelo menos estimativa de volta pra quem tá sofrendo na fila foi preciso sair e questionar onde informaram troca de peça quebrada ou seja brinquedos velhos ou péssima manutenção e ainda o tal de vip pass que é como se fosse uma espécie de propina pra furar fila paga a entrada pra olhar e mais uns r pra ir nos brinquedos não sei dizer se é certo mas sim muita falta de respeito,0
estive lá no dia de setembro de quintafeira e foi maravilhoso eu e meu marido nos divertimos demais o show da hora do horror está maravilhoso com fogos e fogo sim fogofuncionários muito educados e atentos a segurança checando várias vezes para ver se tudo está certo e isso me deixou tranquila os atoresdançarinos estão se apresentando muito bem o que nos fez ter um dia agradável e feliz durante a semana é mais tranquilo nesse dia o parque estava vazio aproveitamos quase todos os brinquedos apenas não recomendo ir ao evolution a sensação é que você vai cair então se não gostar de aventura radical não vá eu não sei se é impossível cair de lá mas a sensação que dá é essa e foi algo bem desagradável geralmente não tenho medo em brinquedos mas a insegurança que senti lá no alto foi aterradora espero que o parque melhore cada vez mais cuide da reforma dos brinquedos e que os funcionários continuem sempre preocupados com a segurança assim como é hoje pois ainda é divertido e vale a visita sugestão sei que é demasiado caro retirar um brinquedo mas seria bom se a torre le voyage fosse retirada tanto por respeito a sua história como porque é como um elefante na sala de qualquer lugar do parque você vê essa torre e fica triste pelo que aconteceu e até diria angustiado não foi algo só comigo vi várias pessoas comentando a mesma coisa durante todo o dia eu não quero o retorno desse brinquedo e muita gente pensa o mesmo e seria melhor se ele fosse retirado e o local aproveitado para fazer um jardim ou algo como um lugar de paz para quem já se foi,1
fui em e me surpreendi positivamente confesso que eu estava com receio devido aos comentários negativos mas fui mesmo assim pois já havia prometido as minhas sobrinhas já fui inúmeras vezes ao hopi hari desde criança e arrisco dizer que essa última foi a minha melhor experiência o parque estava vazio mas acredito que devido ao dia e época e fomos achei bastante organizado desde a entradarevista e dentro do parque funcionários atenciosos fui com crianças e tive sempre as orientações de segurança para que elas pudessem frequentar os brinquedos pude ir em todos os brinquedos e repetir os que mais gostamos mais de uma vez inclusive alguns brinquedos nem precisamos sair ao final para ir novamente estava tendo hora do horror e foi um diferencial incrível com apresentações excepcionais no palco nos restaurantes e em todo parque chegamos as e fomos embora as mesmo o parque fechando as pois estávamos exaustos de tanto brincar voltarei novamente no ano que vem minha dica para quem está com receio de ir e não ter uma boa experiência fuja de férias feriados e finais de semana e com certeza terão uma experiência incrível e é isso tchauííí rsrs,1
muito desorganizado ao entrar já tive problemas ingressos que comprei no canaloficial catraca não reconhecia vários brinquedos inoperantes ou com falha técnica restaurantes desorganizados longas filas até no fast food enfim não vale a pena economize mais e vá no beto carreiro,0
fui no sábado com minha namorada que tanto me falou deste parque da infância dela infelizmente acho que piorou muito com o tempoa gente ficou bloqueada em três brinquedos por causa de manutenção e problemas técnicoso parque funciona das até mas tem brinquedos que fecham já às embora a montanha russa seja mais veloz do que o hyperspace mountain do disneyland o carrinho dela tem menos segurança só um cinto na altura da anca resultado machuquei a costelasó gostei as atividades da hora do horror mas é muita pouca coisa,0
estive no parque no dia e fiquei assustada com a montanha russa de madeira pois o brinquedo está chacoalhando demais a ponto de lesionar as pessoas todos saiam reclamando de dor pois parece que os trilhos estão com uma folga grande que ocasiona o chacoalhar fora do normal da forma como esta o brinquedo deixa de dar aquela adrenalina boa mas sim causa pânico e medo de lesão após sair da atração lamentável será que vão esperar algum acidente grave para realmente fazer uma manutenção de verdade nesse brinquedo,0
o parque publicou uma promoção para entrada grátis para crianças mas quando você chega lá para ter esse beneficio precisa de minimamente adultos pagantes então eles não perdem de nenhum jeito sem contar que na bilheteria o valor dobra de para a entradaentramos com minha filha na montanha russa e não nos atentamos a altura minima e no entanto nenhum funcionário em momento algum sinalizou nem nos orientou a respeito após h e meia de fila sem almoço fomos impedidos de ir ao brinquedo e como o parque estava lotado só foi possível andar e atração filas enormes em todos os lugaresenquanto isso meu marido foi procurar algo para comer com minha filha e só achou restaurantes oferecendo algum tipo de comida ele decidiu ir no saloon após quase h de fila fomos informados que o show foi encerrado não fomos informados previamente para procurar uma a opçãototal falta de respeito com seu público falta de orientação e desorganizaçãogastei quase para entrar de estacionamento andar em atração e passar raiva uma lástima estive no parque no dia,0
fomos ao hopi hari no dia foi a pior experiência em um parque chegamos e pegamos uma fila enorme para estacionar depois fila para marcar altura das crianças e para entrar no parque isso pq já havia comprado os ingressos pela internet depois de entrar fomos comer e saindo de lá fomos para o rio bravo horas de fila as lixeiras todas entupidas e transbordando lixo a galera que comprou o vip pass entrava na atração mesmo que a fila tradicional estivesse completamente lotada ao protestar contra a situação um dos funcionários zombou de todos na fila saindo de lá fui com meu filho mais novo no carrossel e depois fomos para a roda gigante horas isso mesmo duas horas para uma roda gigante apenas algumas cabines funcionando saímos de lá o parque já havia finalizado as atrações isso mesmo um dia inteiro para ir em atrações isso pq uma delas foi o carrossel horrorosa a experiência parque lotado sem estrutura para atender a todos isso tudo com duas crianças péssima administração,0
fomos ao hopi hari no dia chegamos no parque com congestionamento para entrar no estacionamento ok depois fila enorme para a entrada no parque cerca de hora e meia só para entrar fui com minha sobrinha mais velha para a fila da montanha russa ficamos horas e vinte na fila com sol cansaço uma criança desmaiou durante a espera outros tentaram furar fila e houve confusão seguranças acionados saímos com fome e cansados depois de tanta espera para comer cerca de na fila então parque abre as e já eram ou seja cinco horas e quarenta minutos só para andar em uma atração depois fomos para o rio bravo e já estava fechado vários brinquedos já com atividade encerradas ou com fila de horas conseguimos andar no evolution e ir nas latas infantil um dia inteiro para andar em atrações e se sentir desrespeitado e explorado totalmente decepcionado infelizmente o parque está com infraestrutura muito ruim e serviço ruim poucos funcionários no horário de almoço pausam as atrações ou falam que precisa manutenção lanchonete desorganizada funcionários a beira de burnout para finalizar fila enorme no banheiro e as cabines limpas iam sendo fechadas para não serem mais usadas ou seja só permitido utilizas as cabines imundas com pisos urinados e papéis sujos pelo chão pior custo benefício é este local ruim e caro me senti como se tivesse caído num golpe mas infelizmente um golpe com respaldo legal triste,0
parque com brinquedos e estrutura boa entretanto poucos funcionários para o volume de pessoas que frequentam mal humorados cansados visivelmente irritados e sem vontade de ajudar e fazer a alegria de ninguém o que a princípio nos tempos iniciais era um diferencial no parque mas mudou completamente além disso implementaram o vip então quem não é mesmo que tenha pagado r no ingresso fica em filas de a horas enquanto os vips passam na frente mas não só isso os poucos funcionários demoram muito para fazelos entrar na atração enquanto carimbam seus cartões vips o que atrasa mais ainda os coitados que pagaram o ingresso regular ex barco viking a fila regular levava cerca de minuto se isso para entrar e sentar no barco os vips levavam minutos e entrava um barco com fila regular e um barco com vip resultado h na fila para minutos de atração para os pequenos tb os funcionários não tinham nenhuma disposição em ajudalos minha filha de anos após hora na fila do touro mecânico infantil cai nos primeiros segundos do tempo de minutos por criança e eles não deixam ela subir de novo ou seja hora de fila minutos colocando excessivos e desnecessários equipamentos de proteção e segundos de brinquedo o parque desrespeita os frequentadores com o tanto de gente que vai por dia o mínimo era ter o dobro de funcionários por atração felizes e alegres além de se organizarem melhor na liberação da entrada dos vips respeitando quem pagou o ingresso regular que por si só já era caríssimo por fim para crianças de a anos existe uma lacuna tem brinquedos apropriados para menores de anos e maiores de enfim não volto nunca mais e não indico para ninguém só se quiser dar castigo para alguém mesmo triste,0
levei minhas filhas ví um parque recebendo mais pessoas que sua capacidade passamos em médias horas na fila de cada brinquedo infelizmente o cinema d e a montanha russo giratória tiveram paradas técnicas quando já estávamos aguardando mais de hora na fila além disso há o passe vip que faz a fila dos meros mortais andar bem mais lentamente não vale a pena em vez disso conheça um bom parque e visite o beto carreiro world esse sim vale cada centavo,0
o sistema de vip pass acaba com a dinâmica do parque pegamos o parque lotado e além das filas gigantescas o sistema de vip pass deixa as filas aibda mais lentas pegamos mais de horas em cada fila o sistema de vip pass deveria permitir a entrada de apenas terço da capacidade de cada rodada dos brinquedos eles enchem o brinquedo com o vip pass e a fila com os que não pagaram pelo absurdo de reais por cada um ficam no sol em uma fila interminável tudo bem ter o sistema mas deveriam colocar um limite de uso em cada brinquedo,0
é um parque honesto com sua proposta há brinquedos velhos com brinquedos aparentemente mais novos há uma montanha russa de madeira que a propaganda afirma ser a maior da américa latina recomendação não brinque nesta montanha russa o carrinho chacoalha o tempo todo de forma que você não consegue desfrutar do brinquedo eu e meu filho saímos com dor de coluna e de cabeça logo depois de ir nessa montanha russa o resto foi bastante divertido,0
o parque congelou no tempo atrações antigas e staff desinteressado filas imensas a atração onde morreu uma menina há algum tempo continua desativada notase o desgaste dos brinquedos crianças pequenas que não sabem discernir acabam gostando embora se cansem nas filas os mais velhos de adolescentes a adultos notam o estado geral antiquado do parque há um passe vip bem caro que permite furar a fila há em outros parques internacionais tb como a disney mas as regras do hopi hari são bizarras permitese que o vip nem mesmo saia do brinquedo e permaneça nele até cansar na disney devese sair e entrar novamente por vezes sobram lugares reservados para vips com uma fila imensa de não vips além de tudo há atrações simplesmente desativadas uma pena pois é um parque com potencial para agradar se fosse atualizado,0
é a terceira vez em que vou ao hopi hari e confesso que o parque merece uma reestruturação para manter o interesse turístico observei que o sistema de venda de ingressos é bastante confuso e os recepcionistas não são muito aptos a sanar dúvidas no mais a montanha russa permanece como a melhor atração monopolizando o tempo de espera,1
fui com família e amigos é esperado ter filas grandes no meio das férias o que não é esperado é a lentidão pra tudo o horário de abertura já é tarde chegamos bem cedo fila e lentidão pra revista de bolsas parque então abriu com atraso inadmissível visto que se paga por hora fila e lentidão na entrada já quase hora perdida aí apesar de termos chegado cedo nos brinquedos vários não tinham uma lógica e regulamento para entrada de vip pass o que fazia a fila normal não se mexer em tempo não vi valor de vip pass quando fui mas deve compensar principalmente da forma como as coisas estão sendo conduzidas por fim pra comer fila de hora novamente pra comer poucos atendentes nos quiosques e os mesmos nitidamente servindo com má vontade absurda em todos os quiosques que se fosse pegar alguma coisa pra comer seja sorvete lanche ou o tal do bubble seilaoque os atendentes tinham olhar malhumorado se movimentavam com lentidão como se estivessem doentes e as filas aumentando sempre poucos atendendo as atrações são legais não vi problemas chamativos de manutenção mas o serviço esta pessimo e de uma lentidão absurda filhos e amigos conseguiram ir em um total de cinco atrações durante o período de parque aberto não dá pra entrar sem vip pass e se o preço do mesmo não compensar não vale o investimento e pra comer leve de casa o que puder se puder pra não ficar preso em fila de comida,0
escutava que estava decadente porém fomos no primeiro dia de férias dos meus filhos todos brinquedos funcionando ambiente limpo e bonito filas dentro do aceitável conseguimos ir em quase todos que queríamos e ótimo atendimento dos funcionários alegres em especial o rapaz do barco vicking e os atores da mina algo que me chamou a atenção também foi a segurança nos brinquedos radicais sempre pessoas conferindo as travas vale a pena nós divertimos muito,1
sou suspeita a falar porque amo parques e o hopi hari é sempre muito divertido uma pena que é muito cheio se não comprar fura fila você só brinca em brinquedos o fura fila custa reais mas vale a pena porque você consegue aproveitar bem mais o dia que eu fui o evolution estava fechado,1
fui em um domingo de julho havia fila é claro mas não muita a maioria das filas duraram uns minutos os brinquedos em que fui com mais fila foram a roda gigante no início e o montezum entrei na fila h e entrei no brinquedo halgumas observações sobre os brinquedos em que andeigiranda mundi roda gigante muito ruim fica muito tempo parada esperando pessoas entrarem e saírem então não ficamos rodando nela achei o pior brinquedo do parquevulaviking barco viking normal como cabem quase pessoas de uma vez a fila anda rápidojambalaia parecido com o barco viking é mais baixo porém mais rápido alguns acham mais radical que o vulaviking outros menosparangolé brinquedo mais tranquilo e mais gostosorio bravo brinquedo legal a fila é rápida porque a boia normalmente não para para as pessoas entrarem o problema é que molha bastantekatapul uma espécie de montanha russa rápida que dá um looping normal e um invertido eu não gosto de brinquedos que giram porque me deixam tonto esse me deixou tonto por isso não gostei muitomontezum montanharussa de madeira balança muito essa é a maior da américa latina com km de extensão e uma velocidade que passa os kmh muitas pessoas saem reclamando de dor nas costas etc eu particularmente achei muito agressiva foi legal conhecer mas eu não voltariatambém há outros brinquedos radicais além de brinquedos para crianças e alguns espetáculos,1
h e de fila para entrar h de fila para a montanha russah de fila para comprar um lanche fila nos banheiros vários brinquedos em manutenção filas longas para tudo eu li os comentários negativos e confesso que achei que fosse exagero das pessoas não é não fui na quinta feira cheguei cedo mas não deu para aproveitar o parque uma tristeza pq já fui em outras ocasiões e foi ótimo há mais de anos muito triste ver um parque que era tão legal ficar assim desorganizado e sem gestão,0
necessidade urgente de medidas alternativas para filas de horas conseguimos ir em apenas dois brinquedos ao longo do dia isso é um desrespeito às pessoas que trabalham avós pais mães de família que buscam um dia de diversão e se deparam com um verdadeiro pesadelo filas intermináveis falta comida falta de espaço adequado para se sentar e de alimentar espero apenas que as manutenções dos brinquedos estejam sendo feitas adequadamente caso contrário uma nova desgraça poderá acontecer principalmente na montanha russa de madeira,0
